seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
Gypi2:0(Gxpi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  561  463,Gypi2:0,Gxpi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,3,2,1,5,3,8,1,15
Gypi2:0(Gxpi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  844  180,Gypi2:0,Gxpi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,2,1,6,3,8,1,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0)Gypi2:0@(0)  553  471,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,2,1,3,5,8,1,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  547  477,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,5,2,1,5,5,8,1,15
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  530  494,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,5,2,1,6,5,8,1,16
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)Gypi2:0@(0)  871  153,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,2,1,3,6,8,1,13
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  571  453,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,2,1,5,6,8,1,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  251  773,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,1,6,6,8,1,16
Gxpi2:0(Gypi2:0)Gxpi2:0@(0)  269  755,Gxpi2:0,Gypi2:0,1,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,3,1,2,2,9,1,12
Gxpi2:0(Gypi2:0)Gypi2:0@(0)  576  448,Gxpi2:0,Gypi2:0,1,Gypi2:0,Gxpi2:0,Gypi2:0,2,3,1,3,2,9,1,13
